,r_av,l_av,r_smooth,l_smooth,r_log,l_log,f_smooth,A
1995-07-01,10.075,22.950000000000003,7.724572023809523,19.256434523809517,2.0444064198004868,2.9578452658581567,8.03490529557298,1.0
1995-08-01,7.356249999999999,19.226562500000004,7.597509523809524,19.135247023809523,2.027820499353208,2.9515320283218807,7.693551403187682,1.0
1995-09-01,7.091666666666667,20.049999999999997,7.574242857142855,19.228247023809516,2.0247533935473854,2.956380397037267,7.351880814016869,1.0
1995-10-01,5.8100000000000005,18.205,7.457109523809523,19.146380357142853,2.0091678758360607,2.952113682468212,7.0526023517068985,1.0
1995-11-01,5.328333333333333,16.30666666666667,7.294905357142856,18.858651190476188,1.9871762082295699,2.9369717577059755,6.773682968465632,1.0
1995-12-01,4.9703125,12.503125,7.233592857142857,18.837142857142855,1.978735850102349,2.93583060462984,6.515122664293071,1.0
1996-01-01,3.671666666666667,9.7,7.209726190476189,18.92427619047619,1.9754309742201468,2.9404455523821307,6.261765235882511,1.0
1996-02-01,2.876666666666667,9.206666666666667,7.029761904761904,18.72214226190476,1.9501528367941032,2.9297069015695865,6.0452803617852755,1.0
1996-03-01,3.961666666666667,12.59,6.807744047619047,18.4184369047619,1.9180607947386927,2.9133521686359076,5.849154566756745,1.0
1996-04-01,4.908333333333333,14.218333333333332,6.617144047619047,18.171836904761903,1.8896638641172974,2.8998729727722394,5.673387850796921,1.0
1996-05-01,4.296875000000001,11.9078125,6.365477380952381,17.67157023809523,1.850889230132114,2.871957147018082,5.517980213905801,1.0
1996-06-01,4.995,13.895,6.139269047619046,17.203445238095238,1.814705687453273,2.845109668301552,5.374652297262113,1.0
1996-07-01,6.446666666666667,18.79,5.9688815476190475,16.888132738095234,1.7865595643957124,2.8266111704212906,5.261320090446318,1.0
1996-08-01,8.225000000000001,21.7421875,6.0344815476190465,17.166666071428565,1.7974899432567477,2.842969484327516,5.16834696269923,1.0
1996-09-01,9.638333333333334,25.189999999999998,6.257231547619046,17.754603571428568,1.8337378425036495,2.8766448384312566,5.091615855809175,1.0
1996-10-01,7.965,22.310000000000002,6.324877380952381,17.843103571428568,1.8444906480149743,2.881617079029686,5.040718158137411,1.0
1996-11-01,6.793333333333333,17.233333333333334,6.251677380952381,17.71310357142857,1.8328498086929657,2.8743046804519516,5.010179539534353,1.0
1996-12-01,9.1671875,22.590625,6.327344047619047,18.11530357142857,1.844880566372291,2.8967570822209003,5.0,1.0
1997-01-01,8.595000000000002,25.35,6.6067190476190465,18.779553571428572,1.888087168701653,2.9327687020081443,5.0548328625716845,1.0
